"y","N"
66,7
0,0.374767276647958
156,14.4594780139726
0,0.000202878732369466
0,0.0104614782796341
4,0.488835464238857
60,7.68251807035279
2,0.11960245201387
46,4.5209512699978
52,6.39361949627896
3,0.568288793990397
194,21.3777185333471
0,7.852193077473e-07
0,5.04270153260637e-05
0,0.00168040191726153
0,0.0519393212502438
20,2.11855701429941
248,24.7395342505536
0,1.51675619290946e-08
0,8.78063853898038e-07
0,5.53627750609393e-05
0,0.00179247585312146
0,0.061823939823023
24,2.81953850700571
40,3.87521944744778
28,3.0962341653159
50,5.1218190084315
15,1.44989511049084
137,13.9438520284698
0,0.000600785881740919
0,0.0161199140452648
2,0.360314913178871
175,18.3896364619031
0,1.10985219929914e-05
0,0.000503446323176716
1,0.0298160294633883
8,0.894279032369602
214,22.7075523745781
0,1.94934075910378e-07
0,1.10100434625413e-05
0,0.000739735828671749
0,0.0331168823230607
17,1.83049947937935
116,12.0001803471429
0,0.00240264816585224
0,0.152044062445584
84,7.67518055476824
4,0.184033340106615
74,7.22115538483801
3,0.271170677502139
80,9.36770685306906
